Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
manuel roffo,ar ARG,GK,Instituto,23,2000,27.0,0,0,0.0,0.0,0,0,506,741,68.29,0,0,0,0,31.0,1.15,94.0,63.0,69.1,7.0,25.9,3.0,2.0,1.0,0.0,29.2,0.29,-0.8,-0.03,148.0,371.0,39.9,551.0,73.0,48.8,40.7,37.0,8.6,13.0,0.48,10.5,True,23.0
manuel tucker,ar ARG,MF,Platense,19,2004,0.1,0,0,0.0,0.0,0,0,5,9,55.56,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
marcelino moreno,ar ARG,"MF,FW",Lanús,29,1994,22.4,5,10,4.9,6.5,50,18,663,930,71.29,26,12,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0
marcelo barovero,ar ARG,GK,Banfield,39,1984,1.3,0,0,0.0,0.0,0,0,36,48,75.0,0,0,0,1,1.0,0.76,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.46,-0.1,-0.06,4.0,12.0,33.3,34.0,4.0,23.5,28.6,1.0,5.0,0.0,0.0,6.0,True,39.0
marcelo estigarribia,ar ARG,FW,Atlé Tucumán,28,1995,16.8,6,3,5.7,2.5,41,17,247,464,53.23,16,8,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
marcelo mino,ar ARG,GK,Barracas Central,26,1997,10.0,0,0,0.0,0.0,0,0,186,313,59.42,0,0,0,0,14.0,1.4,63.0,50.0,79.4,4.0,40.0,1.0,1.0,0.0,0.0,15.2,0.23,2.2,0.22,72.0,183.0,39.3,215.0,56.0,52.1,41.5,6.0,3.4,3.0,0.3,11.3,True,26.0
marcelo perez,py PAR,FW,Huracán,22,2001,0.4,0,0,0.3,0.0,4,1,3,5,60.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
marcelo saracchi,uy URU,"DF,MF",Boca Juniors,25,1998,8.9,1,1,1.0,1.2,8,1,365,478,76.36,17,14,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
marco di cesare,ar ARG,DF,Racing Club,22,2002,11.4,0,0,0.1,0.0,6,1,453,563,80.46,19,14,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
marco iacobellis,ar ARG,"FW,MF",Barracas Central,23,2000,9.0,1,0,1.5,0.4,16,4,209,313,66.77,25,12,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
marco pellegrino,ar ARG,DF,Independiente,21,2002,4.9,0,0,0.1,0.0,1,1,121,179,67.6,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
marco ruben,ar ARG,FW,Rosario Central,37,1986,10.6,1,1,3.1,0.4,22,7,82,134,61.19,12,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,37.0
marcos acuna,ar ARG,DF,River Plate,32,1991,8.6,0,0,0.2,1.9,5,0,512,643,79.63,16,14,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0
marcos echeverria,ar ARG,FW,Banfield,20,2003,3.5,0,0,0.7,0.0,3,0,42,75,56.0,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
marcos ignacio ledesma,ar ARG,GK,Gimnasia–LP,27,1996,18.0,0,0,0.0,0.0,0,0,346,527,65.65,3,3,0,1,11.0,0.61,53.0,43.0,79.2,9.0,50.0,1.0,0.0,0.0,1.0,12.4,0.23,2.4,0.13,92.0,257.0,35.8,354.0,100.0,43.8,38.2,32.0,10.7,21.0,1.17,12.9,True,27.0
marcos montiel,uy URU,MF,Godoy Cruz,28,1995,0.3,0,0,0.0,0.0,0,0,2,5,40.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
marcos portillo,ar ARG,MF,Talleres,24,2000,6.9,2,3,0.8,1.3,20,5,265,358,74.02,22,18,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
marcos rojo,ar ARG,DF,Boca Juniors,33,1990,10.8,0,0,0.1,0.1,1,0,656,760,86.32,15,9,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
mariano gerez,ar ARG,MF,Lanús,18,2006,0.5,0,0,0.0,0.0,0,0,16,18,88.89,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
mariano santiago,ar ARG,MF,Godoy Cruz,22,2001,1.5,0,0,0.0,0.4,1,0,39,45,86.67,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
mariano troilo,ar ARG,DF,Belgrano,20,2003,17.4,1,0,1.2,0.0,20,7,610,747,81.66,26,12,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
mario sanabria,ar ARG,MF,Deportivo Riestra,21,2002,2.6,0,0,0.4,0.1,4,2,21,55,38.18,6,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
martin barrios,uy URU,MF,Racing Club,25,1999,4.7,0,0,0.3,0.1,10,0,194,236,82.2,10,7,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
martin fernandez,uy URU,MF,Gimnasia–LP,22,2001,11.9,0,0,0.7,0.1,11,5,415,524,79.2,19,14,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
martin garay,ar ARG,"DF,MF",Tigre,24,1999,21.7,1,0,0.6,1.8,13,5,910,1262,72.11,49,26,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
martin lazarte,ar ARG,MF,Banfield,18,2005,0.5,0,0,0.0,0.0,0,0,7,10,70.0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
martin luciano,ar ARG,DF,Godoy Cruz,20,2003,6.0,0,0,0.1,0.2,3,0,170,244,69.67,17,17,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
martin ortega,ar ARG,DF,Tigre,24,1999,15.8,1,2,0.7,0.9,15,6,563,797,70.64,42,25,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
martin pino,ar ARG,FW,Godoy Cruz,25,1998,5.1,1,0,2.3,0.2,15,4,52,80,65.0,2,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
mateo bajamich,ar ARG,"FW,MF",Atlé Tucumán,24,1999,20.4,3,0,5.5,1.4,43,16,363,548,66.24,21,14,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
mateo clemente,ar ARG,GK,San Lorenzo,21,2002,1.0,0,0,0.0,0.0,0,0,11,12,91.67,0,0,0,0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,-0.7,-0.69,0.0,1.0,0.0,10.0,2.0,10.0,27.1,0.0,0.0,1.0,1.0,29.0,True,21.0
mateo coronel,ar ARG,FW,Atlé Tucumán,25,1998,16.0,5,1,6.6,2.9,48,17,304,436,69.72,10,4,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
mateo del blanco,ar ARG,DF,Unión,20,2003,11.6,0,3,0.2,2.0,9,1,411,573,71.73,23,14,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
mateo diaz chaves,ar ARG,MF,Arg Juniors,20,2003,0.8,0,0,0.2,0.1,2,1,16,21,76.19,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
