name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
fernando martinez,2000,ar ARG,"DF,FW",Cen. Córdoba–SdE,23.0,False,2024,ARG1,
fernando meza,1990,ar ARG,DF,Arg Juniors,33.0,False,2024,ARG1,
fernando romero,2000,py PAR,FW,Ind. Rivadavia,23.0,False,2024,ARG1,
fernando tobio,1989,ar ARG,DF,Huracán,34.0,False,2024,ARG1,
fernando zuqui,1991,ar ARG,MF,Estudiantes–LP,32.0,False,2024,ARG1,
flabian londono,2000,co COL,FW,Tigre,23.0,False,2024,ARG1,
florian monzon,2001,ar ARG,"FW,MF",Tigre,23.0,False,2024,ARG1,
francesco lo celso,2000,ar ARG,"FW,MF",Rosario Central,23.0,False,2024,ARG1,
francis mac allister,1995,ar ARG,MF,Arg Juniors,28.0,False,2024,ARG1,
francisco alvarez,2000,ar ARG,DF,Arg Juniors,23.0,False,2024,ARG1,
francisco bonfiglio,2002,es ESP,"FW,MF",Atlé Tucumán,22.0,False,2024,ARG1,
francisco facello,2003,ar ARG,DF,Belgrano,21.0,False,2024,ARG1,
francisco flores,2002,ar ARG,DF,Atlé Tucumán,22.0,False,2024,ARG1,
francisco fydriszewski,1993,ar ARG,FW,San Lorenzo,30.0,False,2024,ARG1,
francisco gerometta,1999,ar ARG,DF,Unión,24.0,False,2024,ARG1,
francisco gonzalez,1997,ar ARG,MF,Belgrano,26.0,False,2024,ARG1,
francisco marco,2003,ar ARG,DF,Defensa y Just,20.0,False,2024,ARG1,
francisco montoro,2004,ar ARG,FW,Vélez Sarsfield,19.0,False,2024,ARG1,
francisco perruzzi,2001,ar ARG,"MF,FW",San Lorenzo,22.0,False,2024,ARG1,
francisco petrasso,2002,ar ARG,DF,Ind. Rivadavia,21.0,False,2024,ARG1,
francisco pizzini,1993,ar ARG,FW,Vélez Sarsfield,30.0,False,2024,ARG1,
franco alfonso,2002,ar ARG,"FW,MF",Huracán,21.0,False,2024,ARG1,
franco aragon,1994,ar ARG,MF,Cen. Córdoba–SdE,29.0,False,2024,ARG1,
franco armani,1986,ar ARG,GK,River Plate,37.0,True,2024,ARG1,
franco baldassarra,1998,ar ARG,"MF,FW",Platense,25.0,False,2024,ARG1,
franco diaz,2000,ar ARG,MF,Newell's OB,23.0,False,2024,ARG1,
franco ibarra,2001,ar ARG,MF,Rosario Central,22.0,False,2024,ARG1,
franco jara,1988,ar ARG,FW,Belgrano,35.0,False,2024,ARG1,
franco mastantuono,2007,ar ARG,"MF,FW",River Plate,16.0,False,2024,ARG1,
