name,dob,position,team,age_years,is_gk,season,league_code,player_id_fb,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
cristian colman,1994,"FW,DF",Gimnasia–LP,29.0,False,2024,ARG1,,cristian colman,1994,cristian colman|1994,,,,py PAR,,cristian colman|1994
cristian ferreira,1999,MF,San Lorenzo,24.0,False,2024,ARG1,,cristian ferreira,1999,cristian ferreira|1999,,,,ar ARG,,cristian ferreira|1999
cristian lema,1990,DF,Boca Juniors,33.0,False,2024,ARG1,,cristian lema,1990,cristian lema|1990,147128.0,1500000.0,,ar ARG,100.0,cristian lema|1990
cristian medina,2002,MF,Boca Juniors,21.0,False,2024,ARG1,,cristian medina,2002,cristian medina|2002,,,,ar ARG,,cristian medina|2002
cristian nunez,1997,MF,Banfield,26.0,False,2024,ARG1,,cristian nunez,1997,cristian nunez|1997,,,,py PAR,,cristian nunez|1997
cristian paz,1995,DF,Deportivo Riestra,28.0,False,2024,ARG1,,cristian paz,1995,cristian paz|1995,357338.0,400000.0,,ar ARG,100.0,cristian paz|1995
cristian tarragona,1991,FW,San Lorenzo,32.0,False,2024,ARG1,,cristian tarragona,1991,cristian tarragona|1991,,,,ar ARG,,cristian tarragona|1991
cristian torres,1999,"MF,FW",Godoy Cruz,24.0,False,2024,ARG1,,cristian torres,1999,cristian torres|1999,,,,ar ARG,,cristian torres|1999
cristian vega,1993,MF,Cen. Córdoba–SdE,30.0,False,2024,ARG1,,cristian vega,1993,cristian vega|1993,,,,ar ARG,,cristian vega|1993
cristopher fiermarin,1998,GK,Defensa y Just,26.0,True,2024,ARG1,,cristopher fiermarin,1998,cristopher fiermarin|1998,,,,uy URU,,cristopher fiermarin|1998
damian batallini,1996,"MF,DF",Arg Juniors,27.0,False,2024,ARG1,,damian batallini,1996,damian batallini|1996,,,,ar ARG,,damian batallini|1996
damian diaz,1986,MF,Banfield,37.0,False,2024,ARG1,,damian diaz,1986,damian diaz|1986,,,,ec ECU,,damian diaz|1986
