Player,MarketValueEUR,team_name,team_id
Rodrigo Aliendro,,CA Vélez Sarsfield,1029
José Florentín,,CA Vélez Sarsfield,1029
Christian Ordóñez,,CA Vélez Sarsfield,1029
Tobías Andrada,,CA Vélez Sarsfield,1029
Leonel Roldán,,CA Vélez Sarsfield,1029
Manuel Lanzini,,CA Vélez Sarsfield,1029
Claudio Aquino,,CA Vélez Sarsfield,1029
Tomás Galván,,CA Vélez Sarsfield,1029
Elías Cabrera,,CA Vélez Sarsfield,1029
Álvaro Montoro,,CA Vélez Sarsfield,1029
Maximiliano Porcel,,CA Vélez Sarsfield,1029
Matías Pellegrini,,CA Vélez Sarsfield,1029
Ricardo Centurión,,CA Vélez Sarsfield,1029
Lenny Lobato,,CA Vélez Sarsfield,1029
Thiago Fernández,,CA Vélez Sarsfield,1029
Francisco Pizzini,,CA Vélez Sarsfield,1029
Gianluca Prestianni,,CA Vélez Sarsfield,1029
Imanol Machuca,,CA Vélez Sarsfield,1029
Rodrigo Piñeiro,,CA Vélez Sarsfield,1029
Maher Carrizo,,CA Vélez Sarsfield,1029
Benjamín Bosch,,CA Vélez Sarsfield,1029
Walter Bou,,CA Vélez Sarsfield,1029
Braian Romero,,CA Vélez Sarsfield,1029
Abiel Osorio,,CA Vélez Sarsfield,1029
Thiago Vecino,,CA Vélez Sarsfield,1029
Santiago Castro,,CA Vélez Sarsfield,1029
Michael Santos,,CA Vélez Sarsfield,1029
Matías Arias,,CA Vélez Sarsfield,1029
Dilan Godoy,,CA Vélez Sarsfield,1029
Alejo Sarco,,CA Vélez Sarsfield,1029
Francisco Montoro,,CA Vélez Sarsfield,1029
Lautaro Morales,,CA Talleres,3938
Guido Herrera,,CA Talleres,3938
Javier Burrai,,CA Talleres,3938
Joaquín Blázquez,,CA Talleres,3938
Laureano Martínez,,CA Talleres,3938
Santino Barbi,,CA Talleres,3938
Matías Catalán,,CA Talleres,3938
Juan Carlos Portillo,,CA Talleres,3938
Kevin Mantilla,,CA Talleres,3938
Lucas Suárez,,CA Talleres,3938
Tomás Cardona,,CA Talleres,3938
Juan Gabriel Rodríguez,,CA Talleres,3938
Tomás Palacios,,CA Talleres,3938
Imanol Segovia,,CA Talleres,3938
Santiago Fernández,,CA Talleres,3938
Tomás Kummer,,CA Talleres,3938
Blas Riveros,,CA Talleres,3938
Miguel Navarro,,CA Talleres,3938
Fernando Bersano,,CA Talleres,3938
Ian Escobar,,CA Talleres,3938
Franco Saavedra,,CA Talleres,3938
Alex Vigo,,CA Talleres,3938
Gastón Benavídez,,CA Talleres,3938
Augusto Schott,,CA Talleres,3938
