player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
gonzalo bravo|1990,gonzalo bravo,1990,ar ARG,,,,
gonzalo goni|1998,gonzalo goni,1998,ar ARG,,,,
gonzalo lujan|2001,gonzalo lujan,2001,ar ARG,,,,
gonzalo marinelli|1989,gonzalo marinelli,1989,ar ARG,,,,
gonzalo maroni|1999,gonzalo maroni,1999,ar ARG,441385.0,2000000.0,,100.0
gonzalo morales|2003,gonzalo morales,2003,ar ARG,,,,
gonzalo nicolas martinez|1993,gonzalo nicolas martinez,1993,ar ARG,,,,
gonzalo perez|2001,gonzalo perez,2001,uy URU,,,,
gonzalo requena|2003,gonzalo requena,2003,ar ARG,,,,
gonzalo rios|1999,gonzalo rios,1999,ar ARG,,,,
gonzalo trindade|2004,gonzalo trindade,2004,ar ARG,,,,
gregorio rodriguez|2000,gregorio rodriguez,2000,ar ARG,,,,
guido carrillo|1991,guido carrillo,1991,ar ARG,184672.0,500000.0,,100.0
guido herrera|1992,guido herrera,1992,ar ARG,230014.0,2000000.0,,100.0
guido mainero|1995,guido mainero,1995,ar ARG,,,,
guillermo acosta|1988,guillermo acosta,1988,ar ARG,,,,
guillermo balzi|2001,guillermo balzi,2001,ar ARG,896234.0,400000.0,,100.0
guillermo benitez|1993,guillermo benitez,1993,ar ARG,,,,
guillermo burdisso|1988,guillermo burdisso,1988,ar ARG,104233.0,325000.0,,100.0
guillermo enrique|2000,guillermo enrique,2000,ar ARG,,,,
guillermo matias fernandez|1991,guillermo matias fernandez,1991,ar ARG,142023.0,500000.0,,95.0
guillermo may|1998,guillermo may,1998,uy URU,,,,
guillermo pereira|1994,guillermo pereira,1994,ar ARG,,,,
gustavo albarracin|2006,gustavo albarracin,2006,ar ARG,,,,
gustavo benitez|1986,gustavo benitez,1986,ar ARG,,,,
gustavo bou|1990,gustavo bou,1990,ar ARG,,,,
gustavo canto|1994,gustavo canto,1994,ar ARG,,,,
gustavo fernandez|1990,gustavo fernandez,1990,ar ARG,,,,
gustavo velasquez|1991,gustavo velasquez,1991,py PAR,,,,
hector david martinez|1998,hector david martinez,1998,py PAR,,,,
hector fertoli|1994,hector fertoli,1994,ar ARG,,,,
hernan de la fuente|1997,hernan de la fuente,1997,ar ARG,552628.0,700000.0,,100.0
hernan galindez|1987,hernan galindez,1987,ec ECU,,,,
ian glavinovich|2001,ian glavinovich,2001,ar ARG,,,,
ian subiabre|2007,ian subiabre,2007,ar ARG,,,,
ignacio arce|1992,ignacio arce,1992,ar ARG,,,,
ignacio chicco|1996,ignacio chicco,1996,ar ARG,,,,
ignacio fernandez|1990,ignacio fernandez,1990,ar ARG,,,,
ignacio galvan|2002,ignacio galvan,2002,ar ARG,,,,
ignacio maestro puch|2003,ignacio maestro puch,2003,ar ARG,,,,
ignacio miramon|2003,ignacio miramon,2003,ar ARG,836518.0,2500000.0,,100.0
ignacio pussetto|1995,ignacio pussetto,1995,ar ARG,283528.0,2500000.0,,100.0
ignacio rodriguez|2002,ignacio rodriguez,2002,ar ARG,,,,
ignacio russo|2000,ignacio russo,2000,ar ARG,,,,
ignacio schor|2000,ignacio schor,2000,ar ARG,,,,
ignacio tapia|2004,ignacio tapia,2004,ar ARG,,,,
ignacio vazquez|1997,ignacio vazquez,1997,ar ARG,,,,
iker muniain|1992,iker muniain,1992,es ESP,54235.0,5000000.0,,100.0
iker zufiaurre|2005,iker zufiaurre,2005,ar ARG,,,,
imanol segovia|2001,imanol segovia,2001,ar ARG,,,,
ivan buhajeruk|2000,ivan buhajeruk,2000,ar ARG,,,,
ivan gomez|1997,ivan gomez,1997,ar ARG,,,,
ivan leguizamon|2002,ivan leguizamon,2002,py PAR,,,,
ivan marcone|1990,ivan marcone,1990,ar ARG,90451.0,1200000.0,,100.0
ivan morales bravo|1999,ivan morales bravo,1999,cl CHI,,,,
ivan pillud|1986,ivan pillud,1986,ar ARG,77720.0,100000.0,,100.0
ivan tapia|1998,ivan tapia,1998,ar ARG,,,,
ivan villalba|1995,ivan villalba,1995,py PAR,,,,
jabes saralegui|2003,jabes saralegui,2003,ar ARG,,,,
jalil elias|1996,jalil elias,1996,sy SYR,,,,
jaminton campaz|2000,jaminton campaz,2000,co COL,,,,
javier marcelo correa|1992,javier marcelo correa,1992,ar ARG,,,,
javier ruiz|2004,javier ruiz,2004,ar ARG,,,,
javier urzua|1999,javier urzua,1999,cl CHI,,,,
jeremias gallard|2004,jeremias gallard,2004,ar ARG,,,,
jeremias james|2001,jeremias james,2001,ar ARG,,,,
jeremias lazaro|2004,jeremias lazaro,2004,ar ARG,,,,
jeremias ledesma|1993,jeremias ledesma,1993,ar ARG,,,,
jeremias lucco|2005,jeremias lucco,2005,ar ARG,,,,
jeremias merlo|,jeremias merlo,0,0,,,,
jeremias perez tica|2003,jeremias perez tica,2003,ar ARG,,,,
jeronimo cacciabue|1998,jeronimo cacciabue,1998,ar ARG,,,,
jeronimo domina|2005,jeronimo domina,2005,ar ARG,,,,
jeronimo pourtau|2000,jeronimo pourtau,2000,ar ARG,,,,
jesus soraire|1988,jesus soraire,1988,ar ARG,,,,
jhohan romana|1998,jhohan romana,1998,co COL,,,,
jhonatan candia|1995,jhonatan candia,1995,uy URU,,,,
jhonny quinonez|1998,jhonny quinonez,1998,ec ECU,437842.0,700000.0,,100.0
joaquin borja|2002,joaquin borja,2002,ar ARG,,,,
